"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 19 23:07:33 EET 2023","Wed Jul 19 23:07:39 EET 2023","5948","All Test Suite","Php travel test cases","PHPTravel.tests.SignUpTests","PHPTravel.tests.SignUpTests","VerifyRegisteringUserWithUnregisteredEmail","VerifyRegisteringUserWithUnregisteredEmail",""
"passed","Wed Jul 19 23:07:23 EET 2023","Wed Jul 19 23:07:24 EET 2023","917","All Test Suite","ContactList tests","ContactList.tests.DeleteUserTest","ContactList.tests.DeleteUserTest","VerifyAddingUserWithUnregisteredEmail","VerifyAddingUserWithUnregisteredEmail",""
"passed","Wed Jul 19 23:07:32 EET 2023","Wed Jul 19 23:07:33 EET 2023","702","All Test Suite","ContactList tests","ContactList.tests.UserProfileTests","ContactList.tests.UserProfileTests","verifyGettingUserProfileWithoutToken","verifyGettingUserProfileWithoutToken",""
"passed","Wed Jul 19 23:07:27 EET 2023","Wed Jul 19 23:07:28 EET 2023","766","All Test Suite","ContactList tests","ContactList.tests.LoginTests","ContactList.tests.LoginTests","VerifyLoginWithInCorrectEmailAndPw","VerifyLoginWithInCorrectEmailAndPw",""
"passed","Wed Jul 19 23:07:39 EET 2023","Wed Jul 19 23:07:39 EET 2023","609","All Test Suite","Php travel test cases","PHPTravel.tests.SignUpTests","PHPTravel.tests.SignUpTests","VerifyRegisteringUserWithRegisteredEmail","VerifyRegisteringUserWithRegisteredEmail",""
"passed","Wed Jul 19 23:07:26 EET 2023","Wed Jul 19 23:07:26 EET 2023","827","All Test Suite","ContactList tests","ContactList.tests.LoginTests","ContactList.tests.LoginTests","VerifyAddingUserWithUnregisteredEmail","VerifyAddingUserWithUnregisteredEmail",""
"passed","Wed Jul 19 23:07:22 EET 2023","Wed Jul 19 23:07:23 EET 2023","860","All Test Suite","ContactList tests","ContactList.tests.AddUserTests","ContactList.tests.AddUserTests","VerifyAddingUserWithRegisteredEmail","VerifyAddingUserWithRegisteredEmail",""
"passed","Wed Jul 19 23:07:30 EET 2023","Wed Jul 19 23:07:31 EET 2023","828","All Test Suite","ContactList tests","ContactList.tests.UserProfileTests","ContactList.tests.UserProfileTests","verifyAddingUserWithUnregisteredEmail","verifyAddingUserWithUnregisteredEmail",""
"passed","Wed Jul 19 23:07:26 EET 2023","Wed Jul 19 23:07:27 EET 2023","719","All Test Suite","ContactList tests","ContactList.tests.LoginTests","ContactList.tests.LoginTests","VerifyLoginWithCorrectEmailAndPw","VerifyLoginWithCorrectEmailAndPw",""
"passed","Wed Jul 19 23:07:31 EET 2023","Wed Jul 19 23:07:32 EET 2023","766","All Test Suite","ContactList tests","ContactList.tests.UserProfileTests","ContactList.tests.UserProfileTests","verifyGettingUserProfile","verifyGettingUserProfile",""
"passed","Wed Jul 19 23:07:28 EET 2023","Wed Jul 19 23:07:29 EET 2023","875","All Test Suite","ContactList tests","ContactList.tests.UpdateUserTests","ContactList.tests.UpdateUserTests","verifyAddingUserWithUnregisteredEmail","verifyAddingUserWithUnregisteredEmail",""
"passed","Wed Jul 19 23:07:16 EET 2023","Wed Jul 19 23:07:22 EET 2023","5385","All Test Suite","ContactList tests","ContactList.tests.AddUserTests","ContactList.tests.AddUserTests","VerifyAddingUserWithUnregisteredEmail","Register tests - valid registration","registering a user using an email that hasn't been registered before"
"passed","Wed Jul 19 23:07:24 EET 2023","Wed Jul 19 23:07:26 EET 2023","1376","All Test Suite","ContactList tests","ContactList.tests.DeleteUserTest","ContactList.tests.DeleteUserTest","VerifyDeletingUserSuccessfully","VerifyDeletingUserSuccessfully",""
"passed","Wed Jul 19 23:07:30 EET 2023","Wed Jul 19 23:07:30 EET 2023","735","All Test Suite","ContactList tests","ContactList.tests.UpdateUserTests","ContactList.tests.UpdateUserTests","verifyUpdatingUnRegisteredUser","verifyUpdatingUnRegisteredUser",""
"passed","Wed Jul 19 23:07:29 EET 2023","Wed Jul 19 23:07:30 EET 2023","781","All Test Suite","ContactList tests","ContactList.tests.UpdateUserTests","ContactList.tests.UpdateUserTests","verifyUpdatingRegisteredUser","verifyUpdatingRegisteredUser",""
